Coding_and_Algorithms,UI_and_Visual_Design,Data_and_Analytics,Math_and_Predictive_Modeling,Infrastructure_and_Automation,Security_and_Networking,Business_and_Product_Strategy,System_Architecture_and_APIs,Career Label
5,2,4,5,3,1,2,4,AI Engineer
5,1,4,5,3,3,3,4,AI Engineer
4,1,3,5,3,1,2,5,AI Engineer
5,3,4,4,3,2,1,3,AI Engineer
5,2,4,5,3,2,2,4,AI Engineer
4,2,5,5,2,2,2,4,AI Engineer
5,2,3,5,3,3,1,5,AI Engineer
5,2,4,5,3,2,3,4,AI Engineer
5,2,4,5,4,1,2,4,AI Engineer
5,2,4,5,3,1,2,4,AI Engineer
5,3,5,5,3,1,2,4,AI Engineer
5,1,3,4,3,3,2,4,AI Engineer
4,2,3,5,4,3,2,3,AI Engineer
5,2,4,4,2,2,3,4,AI Engineer
5,3,4,5,4,2,3,4,AI Engineer
5,3,4,5,2,2,4,3,AI Engineer
5,1,4,5,3,2,2,4,AI Engineer
4,2,3,5,2,2,2,5,AI Engineer
5,1,4,4,3,2,2,3,AI Engineer
5,2,4,5,3,2,2,4,AI Engineer
5,1,4,5,3,2,3,5,AI Engineer
5,2,4,5,3,2,3,4,AI Engineer
4,1,4,5,4,2,2,5,AI Engineer
5,2,4,5,4,2,1,5,AI Engineer
5,2,4,5,3,1,2,4,AI Engineer
5,2,4,4,3,2,2,4,AI Engineer
5,2,4,5,2,2,2,4,AI Engineer
4,2,4,5,3,2,1,5,AI Engineer
5,2,3,4,4,3,2,3,AI Engineer
5,2,5,4,3,2,1,4,AI Engineer
5,2,3,5,4,1,2,4,AI Engineer
5,3,3,5,2,2,2,5,AI Engineer
5,2,4,5,4,2,2,5,AI Engineer
5,2,4,5,3,2,3,4,AI Engineer
5,1,4,5,3,2,2,5,AI Engineer
5,1,3,5,3,3,1,3,AI Engineer
5,3,3,5,3,1,1,3,AI Engineer
5,1,5,5,3,2,2,5,AI Engineer
4,2,4,5,3,1,3,4,AI Engineer
5,2,4,4,3,2,2,3,AI Engineer
5,2,3,5,4,2,2,4,AI Engineer
4,2,3,4,3,2,2,5,AI Engineer
5,3,4,5,3,2,1,4,AI Engineer
5,2,4,4,3,1,2,4,AI Engineer
5,1,4,4,1,2,2,4,AI Engineer
5,2,4,5,3,1,2,4,AI Engineer
5,1,4,4,3,2,1,4,AI Engineer
5,1,3,5,3,2,2,5,AI Engineer
5,2,4,5,2,1,3,4,AI Engineer
5,2,4,5,3,2,1,5,AI Engineer
5,2,4,5,4,1,2,4,AI Engineer
5,2,3,5,3,2,3,4,AI Engineer
5,2,3,5,3,1,3,4,AI Engineer
5,2,3,5,3,2,2,4,AI Engineer
5,2,5,5,3,2,1,4,AI Engineer
5,2,4,5,4,2,1,4,AI Engineer
5,2,3,5,3,2,2,5,AI Engineer
4,2,5,5,3,1,2,4,AI Engineer
5,2,4,5,3,2,2,5,AI Engineer
5,3,5,5,2,2,2,3,AI Engineer
5,2,4,5,3,3,1,4,AI Engineer
5,2,3,4,3,3,3,3,AI Engineer
4,1,3,5,2,2,2,4,AI Engineer
5,2,5,5,3,1,3,5,AI Engineer
5,2,3,5,2,2,2,3,AI Engineer
5,2,3,5,2,1,1,4,AI Engineer
5,1,4,5,4,2,2,4,AI Engineer
5,2,3,4,3,2,3,4,AI Engineer
5,1,4,5,3,3,3,3,AI Engineer
5,3,5,5,4,1,2,4,AI Engineer
5,1,4,4,4,3,2,4,AI Engineer
5,2,4,5,3,2,3,5,AI Engineer
5,1,4,5,3,2,2,4,AI Engineer
5,1,4,5,3,1,3,4,AI Engineer
5,2,3,5,4,2,1,4,AI Engineer
5,3,4,5,2,1,1,5,AI Engineer
5,3,4,4,2,3,2,5,AI Engineer
5,2,4,4,3,1,2,5,AI Engineer
5,2,4,5,4,1,2,5,AI Engineer
